Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
02.10.2023;09.10.2023;74,20;63,53;77,51;43,33;43,25;78,76;82,61;21,10;89,86;76,67;5,97;95,32;84,48;-;118,90;92,20;94,29
09.10.2023;16.10.2023;77,92;71,71;83,64;44,58;42,31;84,00;84,01;27,83;104,50;85,99;20,82;119,91;91,17;-;145,47;113,69;115,61
16.10.2023;23.10.2023;94,45;78,19;86,70;59,56;51,54;82,97;92,34;44,03;102,41;106,58;26,21;108,76;98,94;-;149,28;105,09;105,86
23.10.2023;30.10.2023;101,45;91,60;95,62;82,74;79,82;88,95;99,89;69,90;103,16;113,31;66,77;103,65;103,82;-;129,66;107,44;109,08
30.10.2023;06.11.2023;61,69;59,00;60,09;56,32;50,98;56,90;66,77;59,30;63,96;72,38;35,40;63,51;63,36;-;91,62;66,53;69,73
06.11.2023;13.11.2023;92,51;87,59;93,61;89,61;75,78;91,55;95,54;83,79;94,53;90,96;54,92;100,33;92,89;-;122,46;96,35;97,75
13.11.2023;20.11.2023;90,20;93,08;87,11;91,48;92,30;83,48;90,54;91,97;93,24;105,25;89,74;106,25;92,51;-;126,91;95,31;99,16
20.11.2023;27.11.2023;96,50;96,19;101,84;87,52;77,43;99,69;103,97;91,90;100,19;102,35;74,62;119,28;99,33;-;132,21;102,36;108,94
27.11.2023;04.12.2023;131,82;131,83;132,44;131,40;131,96;132,37;131,97;129,90;131,49;129,37;130,42;138,13;130,65;-;138,51;132,34;132,43
04.12.2023;11.12.2023;101,47;106,23;98,49;101,39;114,26;97,53;99,15;103,39;106,33;115,49;113,39;112,34;106,77;-;123,28;107,61;112,63
11.12.2023;18.12.2023;85,70;85,69;83,73;82,47;77,52;82,75;85,33;83,24;89,96;97,13;76,94;93,74;89,78;-;110,40;92,05;96,96
18.12.2023;25.12.2023;41,65;47,70;45,49;39,99;33,50;45,08;51,17;51,73;50,11;57,51;32,38;66,00;51,71;-;108,58;55,72;68,32
25.12.2023;01.01.2024;20,69;32,26;25,65;29,92;33,53;23,85;34,57;56,39;24,37;33,45;39,14;30,54;23,44;-;115,86;26,22;31,04
01.01.2024;08.01.2024;66,61;73,94;65,21;69,30;87,88;62,69;69,19;76,39;67,59;91,41;88,81;66,69;68,18;-;100,15;67,96;69,29
08.01.2024;15.01.2024;98,55;99,31;101,24;97,79;97,91;100,20;96,26;94,82;99,60;106,47;95,02;103,08;100,02;-;107,47;100,12;101,18
15.01.2024;22.01.2024;83,20;87,02;85,74;82,96;88,92;83,00;82,07;82,80;86,90;97,64;87,13;92,01;88,08;-;96,73;88,07;89,82
22.01.2024;29.01.2024;57,16;62,73;62,47;53,41;48,96;60,50;65,87;56,11;71,32;81,06;39,10;75,54;75,65;-;93,57;75,83;82,78
29.01.2024;05.02.2024;59,92;59,61;64,76;49,41;36,77;63,71;65,83;52,32;71,11;71,15;26,43;75,86;78,35;-;95,89;74,35;78,85
05.02.2024;12.02.2024;64,80;68,36;64,59;64,28;66,61;56,37;68,44;65,71;69,08;80,66;67,03;75,78;73,36;-;91,12;70,51;72,91
12.02.2024;19.02.2024;66,65;66,12;64,43;65,47;59,60;62,37;67,75;63,70;67,45;81,73;57,56;69,47;67,75;-;89,23;67,76;69,20
19.02.2024;26.02.2024;57,00;56,72;55,97;54,19;50,57;54,33;57,51;54,61;59,70;70,68;41,87;62,55;61,94;-;81,83;61,16;61,98
26.02.2024;04.03.2024;67,26;65,34;67,56;63,84;62,11;65,92;67,36;56,78;68,14;78,39;50,79;69,65;68,17;-;84,33;68,43;69,03
04.03.2024;11.03.2024;64,51;67,11;70,44;62,49;61,87;67,79;62,63;63,58;67,43;74,51;62,32;77,99;67,20;-;91,02;67,63;67,96
11.03.2024;18.03.2024;66,53;63,30;61,86;59,58;57,13;58,00;64,50;57,97;67,46;75,42;51,93;74,10;68,34;-;88,22;67,90;68,77
18.03.2024;25.03.2024;66,79;64,08;56,02;62,47;65,63;44,37;63,74;58,20;65,81;85,23;64,80;71,30;67,33;-;88,07;66,19;67,59
25.03.2024;01.04.2024;60,72;56,95;53,32;59,79;59,49;39,01;61,37;56,10;52,88;68,14;49,51;68,74;58,07;-;92,61;54,16;55,96
01.04.2024;08.04.2024;45,46;43,20;26,35;47,23;49,29;9,88;41,38;46,26;42,55;74,17;42,36;49,01;46,68;-;76,27;43,47;45,73
08.04.2024;15.04.2024;51,87;41,23;40,94;37,23;38,10;12,46;48,94;35,15;45,27;71,34;20,90;52,68;50,53;-;77,91;46,67;49,11
15.04.2024;22.04.2024;70,93;64,57;51,20;70,28;72,28;21,38;64,86;55,32;67,97;92,56;69,66;70,65;74,15;-;92,10;69,15;71,69
22.04.2024;29.04.2024;77,55;74,72;67,64;79,85;80,34;60,12;74,06;67,07;75,96;86,18;79,19;73,12;78,41;-;103,07;78,56;78,50
29.04.2024;06.05.2024;56,87;51,50;49,55;51,07;50,94;33,84;61,53;38,09;52,68;66,45;46,14;59,64;56,55;-;83,94;56,15;57,76
06.05.2024;13.05.2024;67,33;60,61;51,35;67,70;68,82;28,06;62,81;51,43;61,98;90,41;52,45;64,70;67,02;-;89,90;65,74;65,70
13.05.2024;20.05.2024;49,13;40,84;47,81;30,19;26,91;23,68;55,80;24,15;48,01;74,22;17,66;44,67;56,08;-;95,26;74,23;64,28
20.05.2024;27.05.2024;79,56;66,01;62,33;69,54;64,50;36,50;74,70;44,14;76,06;97,44;49,44;70,86;80,60;-;95,67;79,96;81,77
27.05.2024;03.06.2024;77,95;64,88;56,58;69,84;77,13;16,13;65,07;49,63;77,63;99,36;57,18;66,72;78,47;-;98,80;80,59;85,76
03.06.2024;10.06.2024;78,40;64,92;65,90;60,49;66,34;36,86;69,93;41,41;77,54;104,99;54,90;55,62;80,15;-;106,76;98,36;90,67
10.06.2024;17.06.2024;63,96;55,37;49,88;56,41;60,08;21,01;62,09;39,30;60,60;101,48;45,33;46,06;66,85;-;97,64;79,40;77,11
17.06.2024;24.06.2024;81,15;70,54;74,94;76,94;77,91;51,50;78,82;53,24;68,37;102,35;61,43;48,36;82,12;-;108,76;108,47;96,25
24.06.2024;01.07.2024;77,12;67,86;63,22;69,16;70,21;51,05;72,59;37,58;71,31;116,57;64,41;45,52;84,87;-;99,49;98,34;114,14
01.07.2024;08.07.2024;51,33;45,04;35,35;39,06;43,52;26,82;45,31;26,28;51,40;102,61;39,75;28,00;57,33;-;103,08;69,45;91,64
08.07.2024;15.07.2024;68,58;61,06;57,98;66,99;66,04;52,39;67,39;34,61;55,54;115,58;48,17;39,27;67,71;-;106,77;84,28;177,87
15.07.2024;22.07.2024;71,05;63,69;62,32;66,65;67,11;57,62;71,18;33,63;68,19;123,90;37,56;43,45;69,00;-;106,62;106,74;182,31
22.07.2024;29.07.2024;76,24;63,57;59,99;70,96;70,72;50,04;72,46;37,94;74,83;107,10;29,44;43,66;82,13;-;110,22;93,34;111,59
29.07.2024;05.08.2024;79,19;64,89;63,80;76,29;76,41;53,42;76,86;51,14;74,20;88,49;34,89;38,14;80,14;-;115,59;87,25;90,88
05.08.2024;12.08.2024;75,83;59,45;53,88;61,25;61,96;30,49;71,85;36,21;75,99;87,37;52,97;39,46;82,51;-;122,42;97,44;93,30
12.08.2024;19.08.2024;96,41;80,22;76,77;94,32;94,04;65,54;89,88;50,17;92,86;99,00;62,89;59,24;97,68;-;125,71;107,61;126,93
19.08.2024;26.08.2024;60,97;54,04;48,20;46,19;46,90;43,45;55,11;30,50;75,94;100,49;11,88;60,96;74,86;-;121,58;101,75;126,39
26.08.2024;02.09.2024;92,38;80,61;81,57;85,05;82,21;78,95;87,85;37,58;99,52;112,50;31,79;88,29;101,41;-;132,85;146,11;147,57
02.09.2024;09.09.2024;98,32;87,70;89,94;86,07;85,82;82,34;94,82;42,11;108,53;111,84;62,42;97,82;102,93;-;135,80;140,90;156,06
09.09.2024;16.09.2024;79,83;66,37;65,96;68,79;68,16;51,37;79,85;39,23;82,17;103,57;7,92;79,80;83,25;-;107,39;89,72;109,21
16.09.2024;23.09.2024;80,26;68,43;65,53;80,39;80,78;42,86;77,54;40,13;81,41;94,74;25,90;80,64;82,86;-;109,28;88,61;94,79
23.09.2024;30.09.2024;63,64;52,97;53,00;59,27;54,47;35,15;68,00;32,87;62,21;71,46;10,73;70,58;64,95;-;110,81;66,81;73,23
30.09.2024;07.10.2024;72,38;69,22;64,87;63,62;63,42;57,15;74,03;46,06;76,04;116,90;36,37;82,03;80,93;-;118,30;81,91;85,78
07.10.2024;14.10.2024;68,22;57,97;63,00;58,33;56,17;46,52;73,37;39,30;66,71;82,99;17,08;65,31;68,86;-;102,85;68,50;71,44
14.10.2024;21.10.2024;75,78;64,72;70,35;71,54;70,63;52,82;80,03;38,41;71,13;86,52;26,83;66,95;76,75;-;113,46;73,96;77,88
21.10.2024;28.10.2024;100,58;83,03;86,77;93,71;94,98;70,74;98,48;38,53;100,61;114,74;15,14;95,53;104,16;-;119,46;104,70;108,76
28.10.2024;04.11.2024;108,32;87,72;103,10;82,41;80,72;85,27;110,26;39,01;112,28;104,52;27,74;107,65;112,00;-;114,59;113,46;115,15
04.11.2024;11.11.2024;146,20;121,61;124,39;129,94;130,23;111,25;135,11;47,62;142,12;143,73;105,41;122,81;145,07;-;123,22;142,22;148,78
11.11.2024;18.11.2024;120,29;107,90;117,55;96,33;96,31;110,50;118,39;46,91;146,81;122,20;68,12;128,58;135,21;-;132,61;164,55;230,13
18.11.2024;25.11.2024;94,03;101,24;95,26;90,72;90,31;88,47;97,79;83,82;118,81;106,46;83,61;130,94;127,40;-;135,71;127,74;157,07
25.11.2024;02.12.2024;101,84;99,08;103,17;80,22;79,30;97,71;105,12;51,47;125,43;126,53;56,65;128,07;136,14;-;138,77;128,84;137,92
02.12.2024;09.12.2024;114,12;109,83;107,97;96,14;98,58;95,58;110,50;69,94;136,17;141,23;72,06;135,26;144,75;-;147,11;142,41;157,28
09.12.2024;16.12.2024;176,85;154,09;153,23;163,80;162,95;130,25;165,41;134,61;183,40;129,75;131,98;153,48;186,13;-;153,08;181,49;189,06
16.12.2024;23.12.2024;51,92;61,94;62,37;30,36;34,00;60,66;60,65;27,76;96,50;70,28;28,01;111,23;99,46;-;120,29;105,60;120,79
23.12.2024;30.12.2024;103,25;91,15;105,20;94,92;94,78;104,46;105,34;34,34;109,18;111,79;24,25;109,70;108,69;-;121,95;111,02;114,77
30.12.2024;06.01.2025;73,87;81,81;85,87;58,66;57,27;90,14;90,86;54,23;117,39;70,88;50,19;117,82;106,61;-;-;116,65;123,96
06.01.2025;13.01.2025;90,56;91,70;95,49;81,32;73,12;89,65;99,99;61,11;112,77;98,72;59,87;123,43;113,21;-;-;112,64;118,84
13.01.2025;20.01.2025;147,93;121,59;142,18;111,91;124,58;137,71;142,98;46,04;150,39;143,74;46,45;144,66;146,92;-;-;151,37;155,13
20.01.2025;27.01.2025;134,98;124,94;126,91;122,08;124,31;113,11;131,32;90,11;156,96;123,82;88,07;152,85;144,83;-;-;161,47;171,11
27.01.2025;03.02.2025;117,12;110,33;107,75;107,36;110,92;90,57;113,33;79,38;128,94;123,47;84,52;139,10;128,33;-;-;129,51;131,23
03.02.2025;10.02.2025;135,31;125,22;140,18;109,99;124,71;138,06;132,35;81,88;138,42;136,55;87,87;150,88;136,56;-;-;139,21;140,61
10.02.2025;17.02.2025;144,82;138,25;149,72;127,05;127,68;140,73;143,74;108,81;154,19;144,16;119,83;156,73;148,13;-;-;161,91;167,77
17.02.2025;24.02.2025;106,26;108,26;105,27;95,27;98,38;100,17;106,32;81,11;133,11;120,87;88,73;144,44;117,23;-;-;141,59;165,83
24.02.2025;03.03.2025;119,44;105,00;110,83;109,16;107,34;101,12;112,14;55,45;130,68;125,70;48,72;133,86;120,03;-;-;138,85;160,55
03.03.2025;10.03.2025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
